,Jarosite,Goethite,Hematite,Kaolinite,Alunite,Illite,Smectite,Gypsum
1548.02,0.7586949360577103,0.36062829931149554,0.35054135706932577,0.8944534970734848,0.8236064969119787,0.6512720224456614,0.6351140062137701,0.7213241352709754
1558.12,0.7709486486646793,0.3604930913389842,0.3512266832150673,0.8940343341521186,0.827426812177508,0.6534251986734926,0.6361843794002199,0.7409953952252266
1568.22,0.7860845798353189,0.36009266358684133,0.3514385084148817,0.895795118002139,0.8306622517088025,0.6619582318358537,0.6390743471920027,0.757049895784241
1578.32,0.795250632824918,0.35934344782803723,0.35111562118728157,0.8958574608780339,0.8320736823659481,0.6731592940588391,0.6438695963293295,0.7693697586849793
1588.42,0.8032044528028203,0.35805664085171907,0.35145620109948106,0.8964999135527411,0.8324520364945932,0.6813534278638201,0.6491421862394043,0.7801388464876614
1598.51,0.8087487970949853,0.35639261616463996,0.35159957174235523,0.8967429012636655,0.8329600435749227,0.6882940897112414,0.652723524748475,0.791323465209439
1608.61,0.8134097172430489,0.35455233130436076,0.3518106510245366,0.8991497633124406,0.8353811386953423,0.6912889819953065,0.6532527874780181,0.8012838557788735
1618.71,0.8142471609752933,0.3527957330522355,0.35185834151022427,0.8993247389462792,0.8362818495658761,0.6923413825565182,0.6552898268753775,0.8099110825520621
1628.81,0.8136186249028577,0.3506922933069931,0.3523138319578951,0.8985326613762304,0.8372656310377675,0.6935485721894123,0.6550344301309092,0.8179355022054541
1638.81,0.8174908688801965,0.34887342780168745,0.3530369145300153,0.8988438765144283,0.8377327974853935,0.6947147871937573,0.6575108116404904,0.82515363529124
1648.9,0.8231227519286606,0.347257850758254,0.3541321544440593,0.8970426003860094,0.8370649902029074,0.6971909548473986,0.6603101366687133,0.8307048638864353
1659.0,0.8259135536412155,0.34594754639581743,0.353437126001921,0.896447569486786,0.8354852662119396,0.7003860082294462,0.6608225866868335,0.8345341874274935
1669.1,0.8257416673148561,0.3453426393387399,0.35344159783441764,0.8950483436164335,0.8341585910302112,0.701022287141966,0.6619354340281615,0.8363516607316639
1679.2,0.8275255175548603,0.345231561830389,0.35344165998276955,0.8945054157805197,0.8303489941624416,0.7009101223013547,0.6603672806050463,0.8353342924783134
1689.3,0.8295454000084169,0.34543498574513803,0.3534593270254882,0.8946675426772488,0.8300411616440567,0.7038005533466353,0.6629015132476136,0.8311200694791461
1699.4,0.8328280654109853,0.34553169751061996,0.35850701100496096,0.8891116382018834,0.8277326262246384,0.7043011970828505,0.6642028777004426,0.8206140775634971
1709.5,0.8316633912348247,0.34544790224724214,0.35753087615689305,0.8850116945338958,0.8178411840633354,0.7048758712734439,0.6644618891054206,0.801677431220961
1719.6,0.8292197439078685,0.34546401644485375,0.3567815181377617,0.8851877464848593,0.8006982512227439,0.702216780913988,0.6630123458673479,0.7734785017440042
1729.7,0.8278626943136039,0.345126290528274,0.3552975103774529,0.8819650313783929,0.775452076622327,0.7031915049692956,0.6607264009133279,0.7457112354097571
1739.7,0.8254939972215675,0.34417517839065204,0.35772552084309556,0.8795390115108184,0.7490640925842452,0.6982082811242263,0.6619417098573056,0.7216603772742486
1749.79,0.8266781696531168,0.34323535011912665,0.35754686134911123,0.8757760015390404,0.7242581595545872,0.7020841460249543,0.6610946134667526,0.7112411446258355
1759.89,0.8231795458379133,0.3425588503671905,0.35962777268589763,0.8749018737580583,0.7088322524601169,0.6938998328053236,0.6556969714592555,0.7179487124764564
1769.99,0.8185648638755261,0.3424663956344012,0.3581495784590781,0.86717730530762,0.7098726247083227,0.6871485755309205,0.6546715515701341,0.7239476898710699
1780.09,0.8163901909167335,0.34286120347998295,0.35937340804919343,0.8594826683570488,0.7405455764977373,0.6857729653660299,0.654710849554407,0.7295010824295716
1790.19,0.8140548781618344,0.34346468391872625,0.3618605505489544,0.8456558278653755,0.7795414273580089,0.6829825262773288,0.6529008550469344,0.7438137796572009
1800.29,0.8075513104866118,0.3448921590184584,0.36129000281945656,0.8417436890051889,0.806997884849283,0.6748250691505585,0.6502242874120653,0.7591625915497504
1810.38,0.8018172341477858,0.347066868556603,0.3605540155343421,0.8388468106779291,0.8167821293929731,0.6730703399756397,0.6469514420801314,0.7690973907555653
1820.48,0.7941108977308153,0.3479597191421979,0.3599735136709613,0.8341108924640768,0.8190037509477218,0.6681469390207866,0.642813754277325,0.7744279410772537
1830.58,0.782308492386446,0.34918868397447195,0.3610331340562647,0.8356569961196986,0.818454685316922,0.6652467745144426,0.64129876992098,0.7762645718891541
1840.58,0.75742704,0.35021791,0.36238357,0.83462769,0.81528908,0.6614536,0.63774866,0.77355587
1850.68,0.7345597414488291,0.3508734086765361,0.36420193700470366,0.8396959037635293,0.8103954628808238,0.6546262882358764,0.6356014217042134,0.7647305195438924
1860.78,0.7323049968222198,0.3516196732959306,0.3635036068949125,0.8459506945216048,0.8057061501888624,0.639371005932675,0.6307302290345933,0.7446917870226694
1870.87,0.7508288250436251,0.35200569401434045,0.363604114179038,0.8327011104446735,0.8001760411597161,0.6007148432258137,0.6114061397929152,0.7126168828502676
1880.98,0.7648864808014734,0.3516185053286001,0.3638652481346483,0.8113876391748607,0.7916025010239729,0.5389535083604156,0.5763976850445098,0.6677018090120707
1891.07,0.7610094006244245,0.3502237655747656,0.364083026041153,0.7854203539160702,0.7813722247562607,0.4643795172029631,0.5017396380294887,0.6189687046046601
1901.17,0.7459505777451998,0.3476601853878145,0.36533573632148053,0.7560923253857347,0.7730020001649683,0.38822883559159815,0.41898039185416136,0.5699571336909954
1911.27,0.7274536625699577,0.34485038128072093,0.36574630374452916,0.7388162941330827,0.7671802605499555,0.3664614517760177,0.4216294746168927,0.5162495170601056
1921.37,0.6992386032497253,0.3432255066583818,0.3660476003919316,0.7437605176005823,0.76166248221682,0.3912004937527602,0.47581111120352115,0.45814461843237264
1931.47,0.6723633051522951,0.34225114710777516,0.3669002431995881,0.7509766087222245,0.7610367245910405,0.41311787414623535,0.5123289344995446,0.39361085861092365
1941.57,0.6622805312696904,0.3420529371918788,0.3678573724554683,0.7562115991085663,0.7615218093954093,0.4236062705251788,0.5234487496533481,0.3551571377737661
1951.57,0.6544853848867678,0.3425238223112876,0.36915767392060367,0.7605974425097288,0.7555428776069197,0.42617286054799136,0.5244933293448661,0.374689018100151
1961.66,0.6422147251384832,0.34298952076752454,0.36921568390208637,0.767596327791993,0.7490230392712923,0.4240018824518007,0.5253985987854872,0.4186884300541655
1971.76,0.6264675414555503,0.34333330617564045,0.37121592133235626,0.7719669271378207,0.7481576198707652,0.41372084270313636,0.5243689513989047,0.4386038701856821
1981.86,0.6058926674891331,0.343668609243581,0.3718053896532295,0.7757093780983078,0.7410852100945651,0.40586079471873204,0.5189876988269021,0.45791789182534653
1991.96,0.5766974497448186,0.34403788355877485,0.3735683521997881,0.7748022644609702,0.7280829190403716,0.3910239106254271,0.5112722032367533,0.49809299375068067
2002.06,0.5487404669371306,0.34480119210581556,0.3744837256953865,0.7773234664509293,0.7164899011073703,0.38172580316129806,0.506558639300009,0.5624824297913587
2012.15,0.5379155905768069,0.3461321445056294,0.3753845589610544,0.7769023695374653,0.7064979865342073,0.3762178023790191,0.5027411508906097,0.6119543031711013
2022.25,0.5360278983865601,0.34888235497667924,0.3746931804491845,0.7744474740408781,0.7047972481800897,0.3819810793267184,0.5056481748889418,0.6408411659052515
2032.35,0.5393311845968748,0.3523546248416612,0.3771518854714515,0.768291383164399,0.6975881335499972,0.3857414166341869,0.5052775983512566,0.658696228198562
2042.45,0.5394291794103201,0.35599859312772936,0.3775409076848505,0.7637677926259816,0.688105422829275,0.38242486139215937,0.5075458828907682,0.6704451205756187
2052.45,0.5376828380196462,0.3598617306217631,0.37833010773515396,0.7599913497388776,0.6797948551609615,0.37266366037589044,0.5064734703120204,0.6765219137988058
2062.55,0.5339126996040006,0.3629125280057434,0.38027361764568995,0.7478632311254146,0.673909138245284,0.357190365730554,0.5041258138551269,0.6769865184334307
2072.65,0.5293011318124654,0.3651091187496039,0.38070091732611105,0.7399770263613049,0.671371219980591,0.3462402408751883,0.49234427241830403,0.6777336714109166
